New_ID,Life satisfaction,Neighborhood satisfaction,Similarity to friends,Years in Somerville,Marital status,Social community events availability,Annual household income,Housing satisfaction,Age,Gender,year,Living with children under 18,Student status
0,5.0,5.0,3.0,13.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,39.5,Female,2011,1,0
1,8.0,9.0,7.0,25.0,Divorced,4.013248542660308,83999.4,7.594181275643416,59.5,Female,2011,0,0
3,10.0,10.0,9.0,25.0,Divorced,4.013248542660308,59999.399999999994,7.594181275643416,69.5,Female,2011,0,0
4,10.0,7.6982275072919,6.687547980961154,11.6967409537503,,4.013248542660308,100894.45434919304,7.594181275643416,43.23844859998021,Female,2011,0,0
5,8.0,8.0,5.0,25.0,Divorced,4.013248542660308,35999.4,7.594181275643416,59.5,Male,2011,0,0
6,10.0,10.0,6.687547980961154,25.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,1,0
7,10.0,8.0,8.0,2.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,0
8,5.0,7.0,7.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,69.5,Female,2011,0,1
9,5.0,7.0,5.0,9.0,Married,4.013248542660308,83999.4,7.594181275643416,59.5,Male,2011,0,0
10,9.0,8.0,10.0,25.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,39.5,Female,2011,0,0
11,8.0,8.0,8.0,18.0,Married,4.013248542660308,35999.4,7.594181275643416,59.5,Male,2011,1,1
12,7.0,7.0,6.687547980961154,25.0,Single,4.013248542660308,12000.0,7.594181275643416,69.5,Male,2011,0,1
13,6.0,8.0,6.0,25.0,,4.013248542660308,12000.0,7.594181275643416,49.5,Male,2011,0,0
14,8.0,8.0,9.0,25.0,,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Male,2011,0,0
15,7.0,5.0,8.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,59.5,Male,2011,0,0
16,6.0,8.0,5.0,2.0,Married,4.013248542660308,107999.4,7.594181275643416,59.5,Male,2011,1,1
17,8.0,10.0,6.0,5.5,Married,4.013248542660308,35999.4,7.594181275643416,39.5,Male,2011,0,0
18,1.0,5.0,5.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,0
19,10.0,10.0,7.0,5.5,Married,4.013248542660308,35999.4,7.594181275643416,49.5,Male,2011,0,0
20,9.0,9.0,9.0,9.0,Married,4.013248542660308,12000.0,7.594181275643416,39.5,Male,2011,0,0
21,10.0,10.0,8.0,25.0,Widowed,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,1
22,10.0,5.0,8.0,9.0,Married,4.013248542660308,203999.4,7.594181275643416,29.5,Male,2011,0,1
23,10.0,6.0,7.0,25.0,Single,4.013248542660308,83999.4,7.594181275643416,59.5,Female,2011,0,1
24,6.0,7.0,3.0,2.0,Married,4.013248542660308,12000.0,7.594181275643416,29.5,Male,2011,0,1
25,5.0,5.0,5.0,13.0,Single,4.013248542660308,59999.399999999994,7.594181275643416,49.5,Male,2011,0,1
26,10.0,5.0,8.0,5.5,Married,4.013248542660308,35999.4,7.594181275643416,39.5,Female,2011,1,1
27,10.0,7.0,5.0,25.0,Married,4.013248542660308,131999.4,7.594181275643416,49.5,Male,2011,0,1
28,9.0,8.0,7.0,13.0,Married,4.013248542660308,252000.0,7.594181275643416,39.5,Male,2011,1,0
29,7.0,6.0,5.0,5.5,Single,4.013248542660308,131999.4,7.594181275643416,29.5,Male,2011,0,1
30,6.0,9.0,8.0,13.0,Single,4.013248542660308,100894.45434919304,7.594181275643416,49.5,Male,2011,0,0
31,8.0,7.0,7.0,9.0,,4.013248542660308,107999.4,7.594181275643416,39.5,Female,2011,0,0
32,8.0,7.0,7.0,25.0,Single,4.013248542660308,83999.4,7.594181275643416,59.5,Female,2011,0,0
33,8.0,8.0,8.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,69.5,Male,2011,0,0
34,8.0,7.0,8.0,25.0,Widowed,4.013248542660308,100894.45434919304,7.594181275643416,80.0,Female,2011,0,1
35,5.0,8.0,5.0,25.0,Married,4.013248542660308,100894.45434919304,7.594181275643416,59.5,Male,2011,0,1
36,7.0,10.0,8.0,25.0,Single,4.013248542660308,12000.0,7.594181275643416,80.0,Female,2011,0,1
37,8.0,8.0,6.0,5.5,Married,4.013248542660308,59999.399999999994,7.594181275643416,29.5,Female,2011,1,0
38,5.0,6.0,7.0,25.0,Married,4.013248542660308,59999.399999999994,7.594181275643416,80.0,Male,2011,0,0
39,8.0,8.0,8.0,25.0,Married,4.013248542660308,83999.4,7.594181275643416,49.5,Female,2011,1,1
40,5.0,6.0,7.0,2.0,Married,4.013248542660308,203999.4,7.594181275643416,39.5,Male,2011,0,1
41,8.0,9.0,10.0,13.0,Married,4.013248542660308,83999.4,7.594181275643416,49.5,Female,2011,1,0
